University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Adrian College,"Adrian, MI","Adrian College, a liberal arts College in the United Methodist tradition, is committed to the pursuit of truth and to the dignity of all people.  Through active and creative learning in a supportive community, students are challenged to achieve excellence in their academic, personal, and professional lives, and to contribute to a more socially just society.",50706,34040,454,0
Alaska Pacific University,"Anchorage, AK","Alaska Pacific University is a small private liberal arts and sciences university providing personalized, experiential, hands-on instruction ""in the field"" with Alaska as its primary classroom.  Core Themes:   * Academic Excellence in all programs and services  * People Focused for students, staff, faculty & trustees  * Unique learning environment employing experiential and applied learning in Alaska using small, personal classroom   * Sustainability of the triple bottom line - people, profit, and planet   (Adopted May 17, 2012)",33690,19900,39,0
Albany College of Pharmacy and Health Sciences,"Albany, NY",Albany College of Pharmacy and Health Sciences is committed to graduating the best health care minds in the world.,46279,31200,151,0
Alcorn State University,"Alcorn State, MS","Alcorn State University, a Historically Black College and University, is a comprehensive land-grant institution that celebrates a rich heritage with a diverse student and faculty population. The University emphasizes intellectual development and lifelong learning through the integration of diverse pedagogies, applied and basic research, cultural and professional programs, public service and outreach, while providing access to globally competitive academic and research programs. Alcorn strives to prepare graduates to be well-rounded future leaders of high character and to be successful in the global marketplace of the 21st century.",22644,5269,519,1
Alice Lloyd College,"Pippa Passes, KY","The mission of Alice Lloyd College is to educate mountain people for positions of leadership and service to the mountains by:   *Making an Alice Lloyd College education available to qualified mountain students regardless of their financial situation.  *Offering a high quality academic program, emphasizing the liberal arts.  *Promoting the work ethic through a self-help, student work program in which all full-time students participate.  *Providing an atmosphere in which Christian values are maintained, encouraging high personal standards and the development of character.  *Serving the community and region through appropriate outreach programs that utilize mountain people helping mountain people.   *Assisting deserving students in obtaining advanced study beyond their program at Alice Lloyd.   *Producing leaders for Appalachia who possess high moral and ethical values, an attitude of self-reliance, a sense of purpose, and a spirit of service to others.",24290,9600,156,0
Allen University,"Columbia, SC",Allen University is an academic community which provides students an opportunity to obtain a baccalaureate degree in liberal arts and professional programs. The University has a strong unalterable commitment to teaching in delivery of its baccalaureate programs.,22800,12740,138,0
American Academy of Dramatic Arts-New York,"New York, NY","The goal of the Academy is to prepare students for  acting careers in theatre, TV and film. Our purpose is to provide a practical, post-secondary education that emphasizes skills needed by an actor in today's  competitive environment.",55080,32440,86,0
American International College,"Springfield, MA","The mission of American International College is to prepare students for personal fulfillment, professional achievement, and civic engagement through educational experiences that transform lives.   Academic programs founded on the knowledge, skills, and values of the liberal arts engage students in theory and emphasize applied learning, while preparing them for the challenges and opportunities presented in the global environment.   Committed to the intrinsic worth of each individual, AIC prepares students for life!",49490,33140,295,0
American Musical and Dramatic Academy,"New York, NY","AMDA is committed to providing an unsurpassed performing arts education to a diverse community of creative artists. AMDA seeks to be both the school and the stage, where students are given the support and the freedom to find their voice and to design and create their own unique artistic vision.  We want our students to develop the skills, confidence, imagination and power to contribute to their community as artists, entrepreneurs, visionaries, lifelong learners and conscientious citizens of the world.  To achieve this, AMDA provides rigorous, performance-based training and an industry-focused education experience that inspires excellence and prepares artists with an appreciation for the universal power of transformation through art. Above all, we want to teach our students that commitment, passion, and joy are the hallmarks to a successful career.",51950,35600,544,0
Andrew College,"Cuthbert, GA","Andrew College is a small, residential, two-year college related to The United Methodist Church.  Its mission is to provide an academically challenging liberal arts curriculum within a nurturing community.",32800,15770,141,0
Antioch College,"Yellow Springs, OH","The mission of Antioch College is to provide a rigorous liberal arts education on the belief that scholarship and life experience are strengthened when linked, that diversity in all its manifestations is a fundamental component of excellence in education, and that authentic social and community engagement is vital for those who strive to win victories for humanity.",51732,34568,27,0
Antonelli Institute,"Erdenheim, PA","Antonelli Institute prepares motivated students for entry-level opportunities leading to careers in the photographic and graphic design professions. Since 1938, Antonelli's distinct, accelerated visual arts programs have combined small classes, interactive lecture, and hands-on learning.",34250,19870,81,0
Aquinas College,"Grand Rapids, MI","Aquinas College, an inclusive educational community rooted in the Catholic and Dominican tradition, provides a liberal arts education with a global perspective, emphasizes career preparation focused on leadership and service to others, and fosters a commitment to lifelong learning dedicated to the pursuit of truth and the common good.",41472,29564,292,0
Argosy University-The Art Institute of California-Inland Empire,"San Bernardino, CA","College of Creative Art and Design Mission Statement The College of Creative Arts and Design provides education in design, media arts, fashion and culinary arts that builds careers and has the potential to transform the lives of those who teach, learn and work at the college.  We Teach. At the heart of the educational experience at the College of Creative Arts and Design is the concept of learning-centered instruction. The classroom is a blend of theory and application where a faculty member delivers theory and then works with students as they apply that theory. Students often collaborate as members of a team on a particular project. Instructors provide guidance and encouragement and model particular approaches to execute on the project and to underscore the theory in action.   We Practice. The faculty of the College of Creative Arts and Design is comprised of outstanding artists, designers, chefs and others with expertise in our fields of study. The college provides the opportunity for these accomplished artists to bring their experiences from the world of work to the classroom and to work with students as they advance their skills and knowledge. We support and encourage our faculty to continue to practice professionally and to bring that experience to the classroom.  We Grow Professionally. The College of Creative Arts and Design recognizes that it’s most important resource is the people, especially our faculty, who work at our campuses. The college provides opportunity for professional development such as advanced study, regular in-service professional development, instructional development, and executive development so that we maintain an excellent workforce that is prepared for continuing growth of our fields of study and of the organization.",32286,18648,180,0
Arkansas Baptist College,"Little Rock, AR","Arkansas Baptist College prepares students for a life of service grounded in academic scholarship, the liberal arts tradition, social responsibility, Christian development and preparation for employment in a global community.",23060,8760,266,0
Arkansas State University-Beebe,"Beebe, AR",Transforming lives through quality learning experiences.,13733,2352,610,1
Arkansas State University-Main Campus,"Jonesboro, AR","Arkansas State educates leaders, enhances intellectual growth, and enriches lives.",22008,6060,1520,1
Art Academy of Cincinnati,"Cincinnati, OH","To create and sustain radical, forward-thinking, contemporary visual artists and designers whose creative contributions make a substantial difference in all the lives they touch.",43052,28252,55,0
Assumption College for Sisters,"Denville, NJ",Assumption College for Sisters exists primarily to educate women called to a life of consecration to God and of service in the Roman Catholic Church.,10974,5544,2,0
Auburn University at Montgomery,"Montgomery, AL","The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems, and to foster and support an environment conducive to teaching, research, scholarship, and collaboration with government agencies, our community, and other educational institutions.",20080,8880,590,0
Augustana College,"Rock Island, IL","Augustana College, rooted in the liberal arts and sciences and a Lutheran expression of the Christian faith, is committed to offering a challenging education that develops qualities of mind, spirit and body necessary for a rewarding life of leadership and service in a diverse and changing world.",51858,39621,654,0
Averett University,"Danville, VA","Averett University prepares students to serve and lead as catalysts for positive change. Averett fulfills this mission by educating students from diverse backgrounds, cultures, and nations through liberal arts-based undergraduate and graduate programs in a personal, collegial, interdisciplinary environment.",44336,31980,221,0
Bais Binyomin Academy,"Monsey, NY","Bais Binyomin Academy seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism.",15800,7100,13,0
Bais HaMedrash and Mesivta of Baltimore,"Baltimore, MD","Bais HaMedrash and Mesivta of Baltimore seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",21500,12400,19,0
Bais Medrash Toras Chesed,"Lakewood, NJ","The mission of Bais Medrash Toras Chesed is to promote and encourage the study of ethical works and teachings; to stimulate and foster the education and development of young people; to establish programs to further these principles and ideals; to organize and conduct philosophical discussions among members of this corporation and with other individuals and groups; to increase, foster and advance the understanding of historical principles, ideals and traditions and to create and establish programs to further such principles, ideals and traditions; to endeavor to inculcate and maintain high moral and ethical standards in men and women; to engage in charitable activities and service to benefit the community; to aid, assist and support charitable organizations in furtherance of ethical principles and ideals; to act in concert with other organizations, agencies and institutions to accomplish the purposes of the corporation; to receive, establish and maintain a fund or funds or real or personal property, or both, and subject to lawful restrictions and limitations, to use and apply the whole or any part of the income therefrom and principal thereof exclusively for educational purposes and generally to further and advance historical ethical principles, ideals and traditions. With these objectives in mind, Bais Medrash Toras Chesed will prepare its students to enter graduate and professional programs, as well as to pursue continued further studies in their personal lives.",15750,9350,25,0
Baker University,"Baldwin City, KS","Baker University is committed to assuring student learning and developing confident, competent and responsible contributors to society.",42340,27600,246,0
Baldwin Wallace University,"Berea, OH","Baldwin Wallace University is an academic community committed to the liberal arts and sciences as the foundation for lifelong learning. The University fulfills this mission through a rigorous academic program that is characterized by excellence in teaching and learning within a challenging, supportive environment that enhances students' intellectual and spiritual growth. Baldwin Wallace assists students in their preparation to become contributing, compassionate citizens of an increasingly global society and encourages their pursuit of personal and professional excellence.",44646,30776,703,0
Baptist Bible College,"Springfield, MO","Baptist Bible College is an institution of biblical higher education that exists to provide a Christ-centered curriculum that fosters a biblical worldview, empowering students to engage and impact their global society.",21666,9936,84,0
